sessao_id,inicio_s,duracao_s,tipo
S01,3303,47,fala_moderador
S01,3350,9,tentativa_tarefa
S01,3359,17,tentativa_tarefa
S01,3376,33,fala_moderador
S01,3409,40,tentativa_tarefa
S01,3449,26,silencio
S02,0,14,pensando_alto
S02,14,20,tentativa_tarefa
S02,34,56,silencio
S02,90,28,silencio
S02,118,36,fala_moderador
S02,154,83,fala_moderador
S02,237,35,fala_moderador
S02,272,34,fala_moderador
S02,306,44,tentativa_tarefa
S02,350,17,fala_moderador
S02,367,17,silencio
S02,384,17,silencio
S02,401,33,tentativa_tarefa
S02,434,83,fala_moderador
S02,517,40,silencio
S02,557,90,fora_do_tema
S02,647,37,fala_moderador
S02,684,37,pensando_alto
S02,721,77,fora_do_tema
S02,798,32,fora_do_tema
S02,830,47,tentativa_tarefa
S02,877,94,tentativa_tarefa
S02,971,11,silencio
S02,982,51,tentativa_tarefa
S02,1033,43,tentativa_tarefa
S02,1076,25,tentativa_tarefa
S02,1101,13,fala_moderador
S02,1114,15,fala_moderador
S02,1129,21,tentativa_tarefa
S02,1150,33,silencio
S02,1183,52,fora_do_tema
S02,1235,15,fala_moderador
S02,1250,32,tentativa_tarefa
S02,1282,26,silencio
S02,1308,14,tentativa_tarefa
S02,1322,16,pensando_alto
S02,1338,31,tentativa_tarefa
S02,1369,63,silencio
S02,1432,20,tentativa_tarefa
S02,1452,51,silencio
S02,1503,121,pensando_alto
S02,1624,52,fala_moderador
S02,1676,22,tentativa_tarefa
S02,1698,16,pensando_alto
S02,1714,69,fala_moderador
S02,1783,45,fala_moderador
S02,1828,40,silencio
S02,1868,28,tentativa_tarefa
S02,1896,9,fala_moderador
S02,1905,86,silencio
S02,1991,28,fora_do_tema
S02,2019,37,pensando_alto
S02,2056,24,fala_moderador
S02,2080,59,pensando_alto
S02,2139,45,fala_moderador
S02,2184,40,pensando_alto
S02,2224,41,tentativa_tarefa
S02,2265,40,pensando_alto
S02,2305,43,tentativa_tarefa
S02,2348,75,tentativa_tarefa
S02,2423,19,fora_do_tema
S02,2442,26,tentativa_tarefa
S02,2468,25,pensando_alto
S02,2493,29,tentativa_tarefa
S02,2522,29,tentativa_tarefa
S02,2551,48,pensando_alto
S02,2599,80,fala_moderador
S03,0,30,tentativa_tarefa
S03,30,33,fala_moderador
S03,63,21,tentativa_tarefa
S03,84,23,tentativa_tarefa
S03,107,12,tentativa_tarefa
S03,119,118,silencio
S03,237,38,tentativa_tarefa
S03,275,35,fala_moderador
S03,310,20,fora_do_tema
S03,330,149,fora_do_tema
S03,479,47,pensando_alto
S03,526,21,pensando_alto
S03,547,61,pensando_alto
S03,608,40,tentativa_tarefa
S03,648,18,tentativa_tarefa
S03,666,14,fala_moderador
S03,680,26,pensando_alto
S03,706,77,tentativa_tarefa
S03,783,45,fala_moderador
S03,828,30,fora_do_tema
S03,858,30,silencio
S03,888,28,tentativa_tarefa
S03,916,24,fora_do_tema
S03,940,119,tentativa_tarefa
S03,1059,22,fala_moderador
S03,1081,56,pensando_alto
S03,1137,82,pensando_alto
S03,1219,61,fora_do_tema
S03,1280,10,tentativa_tarefa
S03,1290,17,fala_moderador
S03,1307,28,fala_moderador
S03,1335,14,fala_moderador
S03,1349,24,tentativa_tarefa
S03,1373,38,pensando_alto
S03,1411,42,pensando_alto
S03,1453,33,fala_moderador
S03,1486,31,fora_do_tema
S03,1517,15,fora_do_tema
S03,1532,57,fora_do_tema
S03,1589,55,silencio
S03,1644,27,tentativa_tarefa
S03,1671,30,silencio
S03,1701,25,fala_moderador
S03,1726,22,fala_moderador
S03,1748,23,silencio
S03,1771,18,fala_moderador
S03,1789,61,tentativa_tarefa
S03,1850,31,tentativa_tarefa
S03,1881,55,pensando_alto
S03,1936,58,tentativa_tarefa
S03,1994,41,tentativa_tarefa
S03,2035,20,silencio
S03,2055,73,fala_moderador
S03,2128,12,tentativa_tarefa
S03,2140,28,fala_moderador
S03,2168,31,fala_moderador
S03,2199,32,tentativa_tarefa
S03,2231,29,fala_moderador
S03,2260,22,tentativa_tarefa
S03,2282,24,tentativa_tarefa
S03,2306,26,pensando_alto
S03,2332,22,tentativa_tarefa
S03,2354,82,tentativa_tarefa
S03,2436,15,pensando_alto
S03,2451,85,fala_moderador
S03,2536,49,silencio
S03,2585,26,fala_moderador
S03,2611,42,fala_moderador
S03,2653,34,fala_moderador
S03,2687,17,tentativa_tarefa
S03,2704,15,silencio
S03,2719,35,pensando_alto
S03,2754,18,tentativa_tarefa
S03,2772,26,fora_do_tema
S03,2798,20,pensando_alto
S03,2818,37,fala_moderador
S03,2855,43,silencio
S03,2898,20,fala_moderador
S03,2918,17,tentativa_tarefa
S03,2935,27,pensando_alto
S03,2962,44,tentativa_tarefa
S03,3006,77,pensando_alto
S03,3083,28,tentativa_tarefa
S03,3111,33,fora_do_tema
S03,3144,29,fala_moderador
S03,3173,23,pensando_alto
S03,3196,23,tentativa_tarefa
S03,3219,58,fala_moderador
S03,3277,34,silencio
S03,3311,54,tentativa_tarefa
S03,3365,24,fora_do_tema
S03,3389,29,fala_moderador
S04,0,61,silencio
S04,61,137,pensando_alto
S04,198,42,fala_moderador
S04,240,33,fala_moderador
S04,273,56,pensando_alto
S04,329,46,pensando_alto
S04,375,34,tentativa_tarefa
S04,409,35,fora_do_tema
S04,444,34,fala_moderador
S04,478,17,fala_moderador
S04,495,50,fala_moderador
S04,545,32,tentativa_tarefa
S04,577,39,silencio
S04,616,30,tentativa_tarefa
S04,646,35,tentativa_tarefa
S04,681,23,fora_do_tema
S04,704,22,silencio
S04,726,11,tentativa_tarefa
S04,737,118,fala_moderador
S04,855,22,silencio
S04,877,26,tentativa_tarefa
S04,903,55,fora_do_tema
S04,958,36,fora_do_tema
S04,994,50,tentativa_tarefa
S04,1044,44,tentativa_tarefa
S04,1088,17,tentativa_tarefa
S04,1105,37,fala_moderador
S04,1142,38,tentativa_tarefa
S04,1180,42,fala_moderador
S04,1222,26,silencio
S04,1248,25,fora_do_tema
S04,1273,23,pensando_alto
S04,1296,51,tentativa_tarefa
S04,1347,34,fala_moderador
S04,1381,23,fala_moderador
S04,1404,55,fala_moderador
S04,1459,24,silencio
S04,1483,18,fala_moderador
S04,1501,40,pensando_alto
S04,1541,8,tentativa_tarefa
S04,1549,31,tentativa_tarefa
S04,1580,29,fala_moderador
S04,1609,27,fala_moderador
S04,1636,42,tentativa_tarefa
S04,1678,33,tentativa_tarefa
S04,1711,32,silencio
S04,1743,17,tentativa_tarefa
S04,1760,54,tentativa_tarefa
S04,1814,60,tentativa_tarefa
S04,1874,93,fala_moderador
S04,1967,66,fala_moderador
S04,2033,42,tentativa_tarefa
S04,2075,20,fala_moderador
S04,2095,26,silencio
S04,2121,35,fala_moderador
S04,2156,46,fala_moderador
S04,2202,49,silencio
S04,2251,22,tentativa_tarefa
S04,2273,30,silencio
S04,2303,19,tentativa_tarefa
S04,2322,57,tentativa_tarefa
S04,2379,20,fora_do_tema
S04,2399,37,pensando_alto
S04,2436,33,silencio
S04,2469,70,tentativa_tarefa
S04,2539,42,silencio
S04,2581,14,pensando_alto
S04,2595,8,silencio
S04,2603,78,tentativa_tarefa
S04,2681,30,fala_moderador
S04,2711,23,pensando_alto
S04,2734,37,pensando_alto
S04,2771,33,pensando_alto
S04,2804,19,fala_moderador
S04,2823,42,silencio
S04,2865,36,fala_moderador
S04,2901,20,tentativa_tarefa
S04,2921,60,tentativa_tarefa
S04,2981,23,fora_do_tema
S04,3004,26,pensando_alto
S04,3030,30,pensando_alto
S04,3060,8,tentativa_tarefa
S04,3068,11,tentativa_tarefa
S04,3079,14,tentativa_tarefa
S04,3093,22,tentativa_tarefa
S04,3115,36,pensando_alto
S04,3151,29,tentativa_tarefa
S04,3180,42,pensando_alto
S04,3222,27,tentativa_tarefa
S04,3249,27,silencio
S04,3276,41,pensando_alto
S04,3317,21,pensando_alto
S04,3338,67,pensando_alto
S04,3405,19,pensando_alto
S04,3424,52,tentativa_tarefa
S04,3476,19,pensando_alto
S04,3495,20,tentativa_tarefa
S05,0,11,pensando_alto
S05,11,24,fala_moderador
S05,35,11,tentativa_tarefa
S05,46,57,tentativa_tarefa
S05,103,29,tentativa_tarefa
S05,132,35,tentativa_tarefa
S05,167,47,tentativa_tarefa
S05,214,33,silencio
S05,247,15,tentativa_tarefa
S05,262,116,pensando_alto
S05,378,32,fora_do_tema
S05,410,49,tentativa_tarefa
S05,459,45,fora_do_tema
S05,504,8,tentativa_tarefa
S05,512,40,tentativa_tarefa
S05,552,23,pensando_alto
S05,575,48,silencio
S05,623,24,tentativa_tarefa
S05,647,31,silencio
S05,678,66,fora_do_tema
S05,744,12,tentativa_tarefa
S05,756,8,silencio
S05,764,43,tentativa_tarefa
S05,807,13,pensando_alto
S05,820,8,fala_moderador
S05,828,16,tentativa_tarefa
S05,844,44,tentativa_tarefa
S05,888,24,fora_do_tema
S05,912,43,tentativa_tarefa
S05,955,29,tentativa_tarefa
S05,984,13,fala_moderador
S05,997,18,pensando_alto
S05,1015,56,tentativa_tarefa
S05,1071,28,fala_moderador
S05,1099,16,tentativa_tarefa
S05,1115,55,silencio
S05,1170,21,tentativa_tarefa
S05,1191,39,tentativa_tarefa
S05,1230,27,pensando_alto
S05,1257,33,tentativa_tarefa
S05,1290,33,pensando_alto
S05,1323,24,pensando_alto
S05,1347,27,tentativa_tarefa
S05,1374,44,silencio
S05,1418,15,tentativa_tarefa
S05,1433,27,fala_moderador
S05,1460,54,silencio
S05,1514,34,tentativa_tarefa
S05,1548,13,pensando_alto
S05,1561,88,silencio
S05,1649,52,tentativa_tarefa
S05,1701,28,fora_do_tema
S05,1729,38,silencio
S05,1767,57,fora_do_tema
S05,1824,39,fora_do_tema
S05,1863,24,silencio
S05,1887,20,fala_moderador
S05,1907,54,fala_moderador
S05,1961,61,pensando_alto
S05,2022,15,silencio
S05,2037,26,pensando_alto
S05,2063,14,pensando_alto
S05,2077,24,fora_do_tema
S05,2101,49,silencio
S05,2150,54,fala_moderador
S05,2204,27,silencio
S05,2231,28,tentativa_tarefa
S05,2259,38,tentativa_tarefa
S05,2297,29,silencio
S05,2326,8,tentativa_tarefa
S05,2334,10,tentativa_tarefa
S05,2344,63,tentativa_tarefa
S05,2407,40,fala_moderador
S05,2447,19,fora_do_tema
S05,2466,57,fora_do_tema
S05,2523,43,fala_moderador
S05,2566,42,fora_do_tema
S05,2608,19,pensando_alto
S05,2627,61,pensando_alto
S05,2688,28,pensando_alto
S05,2716,19,tentativa_tarefa
S05,2735,47,fora_do_tema
S05,2782,15,silencio
S05,2797,43,silencio
S05,2840,13,tentativa_tarefa
S05,2853,19,tentativa_tarefa
S05,2872,57,tentativa_tarefa
S05,2929,15,tentativa_tarefa
S05,2944,18,tentativa_tarefa
S05,2962,32,tentativa_tarefa
S05,2994,8,silencio
S05,3002,59,silencio
S05,3061,16,silencio
S05,3077,56,silencio
S05,3133,13,tentativa_tarefa
S05,3146,31,tentativa_tarefa
S05,3177,34,pensando_alto
S05,3211,24,fala_moderador
S05,3235,50,pensando_alto
S05,3285,27,fala_moderador
S05,3312,86,fala_moderador
S06,0,66,tentativa_tarefa
S06,66,20,fala_moderador
S06,86,22,tentativa_tarefa
S06,108,108,tentativa_tarefa
S06,216,15,tentativa_tarefa
S06,231,80,silencio
S06,311,13,silencio
S06,324,46,fala_moderador
S06,370,63,fala_moderador
S06,433,36,pensando_alto
S06,469,20,fala_moderador
S06,489,42,tentativa_tarefa
S06,531,57,fala_moderador
S06,588,61,pensando_alto
S06,649,42,pensando_alto
S06,691,28,tentativa_tarefa
S06,719,48,tentativa_tarefa
S06,767,19,tentativa_tarefa
S06,786,29,tentativa_tarefa
S06,815,24,fala_moderador
S06,839,59,tentativa_tarefa
S06,898,33,pensando_alto
S06,931,77,silencio
S06,1008,37,fora_do_tema
S06,1045,76,tentativa_tarefa
S06,1121,15,pensando_alto
S06,1136,47,tentativa_tarefa
S06,1183,54,pensando_alto
S06,1237,31,silencio
S06,1268,78,silencio
S06,1346,16,pensando_alto
S06,1362,69,fala_moderador
S06,1431,45,tentativa_tarefa
S06,1476,39,tentativa_tarefa
S06,1515,37,silencio
S06,1552,47,tentativa_tarefa
S06,1599,29,pensando_alto
S06,1628,21,pensando_alto
S06,1649,38,fala_moderador
S06,1687,36,pensando_alto
S06,1723,20,fala_moderador
S06,1743,27,tentativa_tarefa
S06,1770,39,pensando_alto
S06,1809,109,silencio
S06,1918,14,silencio
S06,1932,14,silencio
S06,1946,31,fala_moderador
S06,1977,22,pensando_alto
S06,1999,25,tentativa_tarefa
S06,2024,117,tentativa_tarefa
S06,2141,41,pensando_alto
S06,2182,48,fora_do_tema
S06,2230,14,pensando_alto
S06,2244,19,pensando_alto
S06,2263,24,tentativa_tarefa
S06,2287,25,fala_moderador
S06,2312,22,tentativa_tarefa
S06,2334,27,fala_moderador
S06,2361,22,fora_do_tema
S06,2383,13,fora_do_tema
S06,2396,43,silencio
S06,2439,15,fala_moderador
S06,2454,56,fala_moderador
S06,2510,58,silencio
S07,0,45,fala_moderador
S07,45,37,silencio
S07,82,12,tentativa_tarefa
S07,94,41,fala_moderador
S07,135,24,fala_moderador
S07,159,9,fora_do_tema
S07,168,43,silencio
S07,211,8,pensando_alto
S07,219,32,fora_do_tema
S07,251,27,silencio
S07,278,59,fora_do_tema
S07,337,41,tentativa_tarefa
S07,378,39,fala_moderador
S07,417,60,fala_moderador
S07,477,16,fala_moderador
S07,493,41,tentativa_tarefa
S07,534,22,pensando_alto
S07,556,29,tentativa_tarefa
S07,585,45,fala_moderador
S07,630,133,pensando_alto
S07,763,24,fala_moderador
S07,787,19,tentativa_tarefa
S07,806,29,pensando_alto
S07,835,15,pensando_alto
S07,850,54,pensando_alto
S07,904,22,fala_moderador
S07,926,22,tentativa_tarefa
S07,948,12,fora_do_tema
S07,960,52,fora_do_tema
S07,1012,39,tentativa_tarefa
S07,1051,28,pensando_alto
S07,1079,50,silencio
S07,1129,43,pensando_alto
S07,1172,61,fala_moderador
S07,1233,30,fora_do_tema
S07,1263,21,pensando_alto
S07,1284,34,pensando_alto
S07,1318,30,tentativa_tarefa
S07,1348,30,silencio
S07,1378,38,tentativa_tarefa
S07,1416,21,pensando_alto
S07,1437,14,tentativa_tarefa
S07,1451,58,fala_moderador
S07,1509,32,silencio
S07,1541,48,fala_moderador
S07,1589,16,tentativa_tarefa
S07,1605,19,pensando_alto
S07,1624,24,silencio
S07,1648,163,tentativa_tarefa
S07,1811,34,fora_do_tema
S07,1845,19,fora_do_tema
S07,1864,24,pensando_alto
S07,1888,32,tentativa_tarefa
S07,1920,30,tentativa_tarefa
S07,1950,78,pensando_alto
S07,2028,48,silencio
S07,2076,14,tentativa_tarefa
S07,2090,24,fala_moderador
S07,2114,59,fala_moderador
S07,2173,50,silencio
S07,2223,31,silencio
S07,2254,29,fora_do_tema
S07,2283,46,fala_moderador
S07,2329,50,tentativa_tarefa
S07,2379,52,tentativa_tarefa
S07,2431,32,silencio
S07,2463,52,silencio
S07,2515,21,tentativa_tarefa
S07,2536,30,fala_moderador
S07,2566,26,fala_moderador
S07,2592,20,tentativa_tarefa
S07,2612,43,fala_moderador
S07,2655,37,silencio
S07,2692,49,tentativa_tarefa
S07,2741,44,fala_moderador
S07,2785,52,tentativa_tarefa
S07,2837,11,tentativa_tarefa
S07,2848,37,fala_moderador
S07,2885,55,fala_moderador
S08,0,23,tentativa_tarefa
S08,23,38,silencio
S08,61,68,silencio
S08,129,85,pensando_alto
S08,214,22,fala_moderador
S08,236,31,fora_do_tema
S08,267,43,fora_do_tema
S08,310,16,pensando_alto
S08,326,26,fala_moderador
S08,352,16,tentativa_tarefa
S08,368,56,tentativa_tarefa
S08,424,32,fora_do_tema
S08,456,20,fala_moderador
S08,476,22,pensando_alto
S08,498,9,tentativa_tarefa
S08,507,26,fala_moderador
S08,533,92,fora_do_tema
S08,625,51,silencio
S08,676,56,fala_moderador
S08,732,47,fala_moderador
S08,779,23,fala_moderador
S08,802,215,pensando_alto
S08,1017,22,pensando_alto
S08,1039,63,fala_moderador
S08,1102,27,silencio
S08,1129,18,pensando_alto
S08,1147,24,pensando_alto
S08,1171,18,tentativa_tarefa
S08,1189,24,silencio
S08,1213,35,tentativa_tarefa
S08,1248,23,fala_moderador
S08,1271,54,silencio
S08,1325,77,tentativa_tarefa
S08,1402,59,pensando_alto
S08,1461,27,tentativa_tarefa
S08,1488,31,fala_moderador
S08,1519,8,fora_do_tema
S08,1527,41,fora_do_tema
S08,1568,28,tentativa_tarefa
S08,1596,19,tentativa_tarefa
S08,1615,12,fala_moderador
S08,1627,51,pensando_alto
S08,1678,51,fora_do_tema
S08,1729,35,pensando_alto
S08,1764,40,tentativa_tarefa
S08,1804,30,tentativa_tarefa
S08,1834,23,pensando_alto
S08,1857,48,tentativa_tarefa
S08,1905,52,fala_moderador
S08,1957,24,tentativa_tarefa
S08,1981,17,silencio
S08,1998,85,tentativa_tarefa
S08,2083,64,fora_do_tema
S08,2147,21,fala_moderador
S08,2168,67,tentativa_tarefa
S08,2235,43,pensando_alto
S08,2278,21,silencio
S08,2299,24,tentativa_tarefa
S08,2323,50,tentativa_tarefa
S08,2373,37,fora_do_tema
S08,2410,60,fala_moderador
S08,2470,70,tentativa_tarefa
S08,2540,65,silencio
S08,2605,29,fala_moderador
S08,2634,37,fala_moderador
S08,2671,47,tentativa_tarefa
S08,2718,27,fala_moderador
S08,2745,23,tentativa_tarefa
S08,2768,53,tentativa_tarefa
S08,2821,9,tentativa_tarefa
S08,2830,38,tentativa_tarefa
S08,2868,22,pensando_alto
S08,2890,56,tentativa_tarefa
S08,2946,39,fala_moderador
S08,2985,23,fala_moderador
S08,3008,54,tentativa_tarefa
S08,3062,46,fora_do_tema
S08,3108,23,pensando_alto
S08,3131,58,silencio
S08,3189,67,fala_moderador
S08,3256,11,pensando_alto
S08,3267,48,silencio
S08,3315,22,fora_do_tema
S09,0,37,fala_moderador
S09,37,57,tentativa_tarefa
S09,94,21,pensando_alto
S09,115,32,fala_moderador
S09,147,27,tentativa_tarefa
S09,174,35,fora_do_tema
S09,209,8,fala_moderador
S09,217,18,fora_do_tema
S09,235,24,tentativa_tarefa
S09,259,30,tentativa_tarefa
S09,289,16,tentativa_tarefa
S09,305,44,tentativa_tarefa
S09,349,28,silencio
S09,377,24,tentativa_tarefa
S09,401,49,tentativa_tarefa
S09,450,49,fala_moderador
S09,499,46,tentativa_tarefa
S09,545,28,silencio
S09,573,26,fala_moderador
S09,599,8,fala_moderador
S09,607,23,fora_do_tema
S09,630,88,pensando_alto
S09,718,58,silencio
S09,776,17,tentativa_tarefa
S09,793,19,pensando_alto
S09,812,20,fala_moderador
S09,832,35,tentativa_tarefa
S09,867,23,pensando_alto
S09,890,15,tentativa_tarefa
S09,905,52,silencio
S09,957,33,fala_moderador
S09,990,31,fora_do_tema
S09,1021,14,tentativa_tarefa
S09,1035,39,fala_moderador
S09,1074,30,tentativa_tarefa
S09,1104,26,pensando_alto
S09,1130,94,tentativa_tarefa
S09,1224,26,tentativa_tarefa
S09,1250,25,tentativa_tarefa
S09,1275,32,fala_moderador
S09,1307,15,fora_do_tema
S09,1322,48,silencio
S09,1370,20,silencio
S09,1390,50,pensando_alto
S09,1440,108,tentativa_tarefa
S09,1548,24,tentativa_tarefa
S09,1572,70,tentativa_tarefa
S09,1642,14,tentativa_tarefa
S09,1656,36,pensando_alto
S09,1692,48,fala_moderador
S09,1740,26,fora_do_tema
S09,1766,58,pensando_alto
S09,1824,18,tentativa_tarefa
S09,1842,16,fala_moderador
S09,1858,28,tentativa_tarefa
S09,1886,43,tentativa_tarefa
S09,1929,27,pensando_alto
S09,1956,81,fala_moderador
S09,2037,37,fala_moderador
S09,2074,46,pensando_alto
S09,2120,67,fala_moderador
S09,2187,60,tentativa_tarefa
S09,2247,26,fala_moderador
S09,2273,57,silencio
S09,2330,60,fala_moderador
S09,2390,28,fala_moderador
S09,2418,29,tentativa_tarefa
S09,2447,12,tentativa_tarefa
S09,2459,14,pensando_alto
S09,2473,21,fala_moderador
S09,2494,34,fora_do_tema
S09,2528,94,fala_moderador
S09,2622,48,tentativa_tarefa
S09,2670,86,fala_moderador
S09,2756,39,fala_moderador
S09,2795,12,fora_do_tema
S09,2807,30,silencio
S09,2837,20,fala_moderador
S09,2857,39,tentativa_tarefa
S09,2896,36,tentativa_tarefa
S09,2932,34,tentativa_tarefa
S09,2966,14,tentativa_tarefa
S09,2980,45,tentativa_tarefa
S09,3025,26,silencio
S09,3051,28,tentativa_tarefa
S09,3079,47,pensando_alto
S09,3126,38,silencio
S09,3164,39,tentativa_tarefa
S09,3203,32,fala_moderador
S09,3235,13,fora_do_tema
S09,3248,15,fala_moderador
S09,3263,34,tentativa_tarefa
S09,3297,68,fala_moderador
S09,3365,22,fora_do_tema
S09,3387,58,silencio
S09,3445,43,tentativa_tarefa
S09,3488,43,tentativa_tarefa
S09,3531,23,tentativa_tarefa
S09,3554,29,fora_do_tema
S09,3583,13,pensando_alto
S09,3596,17,fala_moderador
S09,3613,35,pensando_alto
S09,3648,43,tentativa_tarefa
S09,3691,45,tentativa_tarefa
S09,3736,10,fala_moderador
S09,3746,16,pensando_alto
S09,3762,49,silencio
S09,3811,29,silencio
S10,0,70,fala_moderador
S10,70,71,fala_moderador
S10,141,59,fora_do_tema
S10,200,21,tentativa_tarefa
S10,221,15,tentativa_tarefa
S10,236,30,fala_moderador
S10,266,17,tentativa_tarefa
S10,283,54,fala_moderador
S10,337,8,fala_moderador
S10,345,19,fala_moderador
S10,364,40,pensando_alto
S10,404,51,silencio
S10,455,30,pensando_alto
S10,485,28,fala_moderador
S10,513,35,pensando_alto
S10,548,16,tentativa_tarefa
S10,564,65,tentativa_tarefa
S10,629,40,fora_do_tema
S10,669,119,tentativa_tarefa
S10,788,21,silencio
S10,809,131,tentativa_tarefa
S10,940,51,fora_do_tema
S10,991,22,fora_do_tema
S10,1013,37,tentativa_tarefa
S10,1050,62,tentativa_tarefa
S10,1112,40,silencio
S10,1152,25,silencio
S10,1177,32,fala_moderador
S10,1209,14,tentativa_tarefa
S10,1223,42,fora_do_tema
S10,1265,18,tentativa_tarefa
S10,1283,33,tentativa_tarefa
S10,1316,94,fala_moderador
S10,1410,15,fora_do_tema
S10,1425,58,pensando_alto
S10,1483,38,silencio
S10,1521,57,fora_do_tema
S10,1578,16,silencio
S10,1594,96,fora_do_tema
S10,1690,18,fala_moderador
S10,1708,92,tentativa_tarefa
S10,1800,9,fala_moderador
S10,1809,39,fala_moderador
S10,1848,19,pensando_alto
S10,1867,33,fora_do_tema
S10,1900,49,tentativa_tarefa
S10,1949,50,tentativa_tarefa
S10,1999,40,tentativa_tarefa
S10,2039,43,pensando_alto
S10,2082,19,tentativa_tarefa
S10,2101,81,fala_moderador
S10,2182,50,tentativa_tarefa
S10,2232,42,tentativa_tarefa
S10,2274,55,fala_moderador
S10,2329,30,pensando_alto
S10,2359,31,fala_moderador
S10,2390,116,pensando_alto
S10,2506,26,pensando_alto
S10,2532,35,tentativa_tarefa
S10,2567,18,pensando_alto
S10,2585,47,tentativa_tarefa
S10,2632,40,fala_moderador
S10,2672,69,silencio
S10,2741,25,fala_moderador
S10,2766,34,fora_do_tema
S10,2800,70,fora_do_tema
S10,2870,25,fala_moderador
S10,2895,12,pensando_alto
S10,2907,13,fala_moderador
S10,2920,70,silencio
S10,2990,10,pensando_alto
S10,3000,32,fala_moderador
S10,3032,38,fala_moderador
S10,3070,16,pensando_alto
S10,3086,90,fora_do_tema
S10,3176,76,fora_do_tema
S10,3252,64,fala_moderador
S10,3316,43,tentativa_tarefa
S11,0,63,tentativa_tarefa
S11,63,16,silencio
S11,79,46,silencio
S11,125,50,pensando_alto
S11,175,28,fala_moderador
S11,203,64,tentativa_tarefa
S11,267,22,silencio
S11,289,35,pensando_alto
S11,324,65,pensando_alto
S11,389,88,tentativa_tarefa
S11,477,32,pensando_alto
S11,509,60,silencio
S11,569,43,tentativa_tarefa
S11,612,27,pensando_alto
S11,639,35,tentativa_tarefa
S11,674,26,fala_moderador
S11,700,25,tentativa_tarefa
S11,725,93,silencio
S11,818,19,tentativa_tarefa
S11,837,19,fala_moderador
S11,856,56,tentativa_tarefa
S11,912,29,tentativa_tarefa
S11,941,58,pensando_alto
S11,999,30,silencio
S11,1029,26,tentativa_tarefa
S11,1055,18,tentativa_tarefa
S11,1073,54,tentativa_tarefa
S11,1127,19,tentativa_tarefa
S11,1146,12,pensando_alto
S11,1158,33,fala_moderador
S11,1191,15,pensando_alto
S11,1206,94,pensando_alto
S11,1300,58,pensando_alto
S11,1358,50,fala_moderador
S11,1408,54,fora_do_tema
S11,1462,16,tentativa_tarefa
S11,1478,20,tentativa_tarefa
S11,1498,78,tentativa_tarefa
S11,1576,25,fora_do_tema
S11,1601,52,pensando_alto
S11,1653,18,tentativa_tarefa
S11,1671,95,pensando_alto
S11,1766,38,fala_moderador
S11,1804,50,fora_do_tema
S11,1854,144,tentativa_tarefa
