sessao_id,tarefa,concluiu,tempo_s,relato_sucesso,relato_nota
S17,Subir um vídeo de sessão,True,97,True,3
S17,Encontrar os acionáveis do estudo,False,220,True,4
S17,Filtrar achados por severidade,False,219,False,4
S17,Exportar para o Power BI,False,211,True,5
S17,Compartilhar o relatório com o time,False,152,True,3
S18,Subir um vídeo de sessão,False,245,False,3
S18,Encontrar os acionáveis do estudo,True,160,True,4
S18,Filtrar achados por severidade,False,190,True,3
S18,Exportar para o Power BI,True,216,False,3
S18,Compartilhar o relatório com o time,True,172,True,5
S19,Subir um vídeo de sessão,False,267,True,4
S19,Encontrar os acionáveis do estudo,True,183,True,4
S19,Filtrar achados por severidade,True,110,True,4
S19,Exportar para o Power BI,True,38,True,5
S19,Compartilhar o relatório com o time,False,190,True,3
S20,Subir um vídeo de sessão,True,92,True,4
S20,Encontrar os acionáveis do estudo,False,201,True,5
S20,Filtrar achados por severidade,True,180,True,3
S20,Exportar para o Power BI,True,113,False,1
S20,Compartilhar o relatório com o time,True,170,True,4
S21,Subir um vídeo de sessão,False,254,True,5
S21,Encontrar os acionáveis do estudo,False,144,True,3
S21,Filtrar achados por severidade,True,108,True,4
S21,Exportar para o Power BI,True,174,True,3
S21,Compartilhar o relatório com o time,True,105,True,3
S22,Subir um vídeo de sessão,False,201,True,3
S22,Encontrar os acionáveis do estudo,True,134,True,4
S22,Filtrar achados por severidade,True,159,True,3
S22,Exportar para o Power BI,False,237,False,2
S22,Compartilhar o relatório com o time,True,188,True,3
S23,Subir um vídeo de sessão,False,242,False,1
S23,Encontrar os acionáveis do estudo,False,217,True,5
S23,Filtrar achados por severidade,False,200,True,3
S23,Exportar para o Power BI,False,191,True,5
S23,Compartilhar o relatório com o time,False,171,False,4
S24,Subir um vídeo de sessão,False,169,False,2
S24,Encontrar os acionáveis do estudo,False,166,True,3
S24,Filtrar achados por severidade,False,245,False,3
S24,Exportar para o Power BI,False,251,True,3
S24,Compartilhar o relatório com o time,False,168,True,4
