sessao_id,tarefa,concluiu,tempo_s,relato_sucesso,relato_nota,relato_falso_positivo,resultado,relato
S08,Encontrar os acionáveis do estudo,True,173,True,5,False,Concluiu,Relatou sucesso
S08,Filtrar achados por severidade,True,102,False,3,False,Concluiu,Relatou fracasso
S08,Exportar para o Power BI,False,202,True,3,True,Não concluiu,Relatou sucesso
S08,Compartilhar o relatório com o time,False,137,False,1,False,Não concluiu,Relatou fracasso
S09,Subir um vídeo de sessão,True,291,True,2,False,Concluiu,Relatou sucesso
S09,Encontrar os acionáveis do estudo,False,125,False,1,False,Não concluiu,Relatou fracasso
S09,Filtrar achados por severidade,True,97,True,4,False,Concluiu,Relatou sucesso
S09,Exportar para o Power BI,False,180,False,3,False,Não concluiu,Relatou fracasso
S09,Compartilhar o relatório com o time,True,171,True,3,False,Concluiu,Relatou sucesso
S10,Subir um vídeo de sessão,False,173,True,4,True,Não concluiu,Relatou sucesso
S10,Encontrar os acionáveis do estudo,False,229,True,4,True,Não concluiu,Relatou sucesso
S10,Filtrar achados por severidade,True,106,True,3,False,Concluiu,Relatou sucesso
S10,Exportar para o Power BI,False,164,False,1,False,Não concluiu,Relatou fracasso
S10,Compartilhar o relatório com o time,True,161,True,4,False,Concluiu,Relatou sucesso
S11,Subir um vídeo de sessão,True,145,True,3,False,Concluiu,Relatou sucesso
S11,Encontrar os acionáveis do estudo,True,134,True,4,False,Concluiu,Relatou sucesso
S11,Filtrar achados por severidade,True,81,True,2,False,Concluiu,Relatou sucesso
S11,Exportar para o Power BI,False,245,True,5,True,Não concluiu,Relatou sucesso
S11,Compartilhar o relatório com o time,True,95,True,4,False,Concluiu,Relatou sucesso
S12,Subir um vídeo de sessão,False,274,True,4,True,Não concluiu,Relatou sucesso
S12,Encontrar os acionáveis do estudo,True,41,True,4,False,Concluiu,Relatou sucesso
S12,Filtrar achados por severidade,False,261,True,3,True,Não concluiu,Relatou sucesso
S12,Exportar para o Power BI,True,194,True,2,False,Concluiu,Relatou sucesso
S12,Compartilhar o relatório com o time,True,108,True,3,False,Concluiu,Relatou sucesso
S13,Subir um vídeo de sessão,True,176,True,3,False,Concluiu,Relatou sucesso
S13,Encontrar os acionáveis do estudo,True,117,True,4,False,Concluiu,Relatou sucesso
S13,Filtrar achados por severidade,True,178,True,4,False,Concluiu,Relatou sucesso
S13,Exportar para o Power BI,True,213,True,4,False,Concluiu,Relatou sucesso
S13,Compartilhar o relatório com o time,True,88,True,5,False,Concluiu,Relatou sucesso
S14,Subir um vídeo de sessão,True,179,True,3,False,Concluiu,Relatou sucesso
S14,Encontrar os acionáveis do estudo,False,303,True,5,True,Não concluiu,Relatou sucesso
S14,Filtrar achados por severidade,True,76,True,4,False,Concluiu,Relatou sucesso
S14,Exportar para o Power BI,True,224,True,4,False,Concluiu,Relatou sucesso
S14,Compartilhar o relatório com o time,True,137,True,5,False,Concluiu,Relatou sucesso
S15,Subir um vídeo de sessão,True,43,True,4,False,Concluiu,Relatou sucesso
S15,Encontrar os acionáveis do estudo,True,105,True,3,False,Concluiu,Relatou sucesso
S15,Filtrar achados por severidade,True,136,True,4,False,Concluiu,Relatou sucesso
S15,Exportar para o Power BI,False,270,True,5,True,Não concluiu,Relatou sucesso
S15,Compartilhar o relatório com o time,True,97,True,3,False,Concluiu,Relatou sucesso
S16,Subir um vídeo de sessão,True,133,True,4,False,Concluiu,Relatou sucesso
S16,Encontrar os acionáveis do estudo,True,115,True,4,False,Concluiu,Relatou sucesso
S16,Filtrar achados por severidade,True,151,False,3,False,Concluiu,Relatou fracasso
S16,Exportar para o Power BI,True,97,True,4,False,Concluiu,Relatou sucesso
S16,Compartilhar o relatório com o time,False,138,True,4,True,Não concluiu,Relatou sucesso
S17,Subir um vídeo de sessão,True,97,True,3,False,Concluiu,Relatou sucesso
S17,Encontrar os acionáveis do estudo,False,220,True,4,True,Não concluiu,Relatou sucesso
S17,Filtrar achados por severidade,False,219,False,4,False,Não concluiu,Relatou fracasso
S17,Exportar para o Power BI,False,211,True,5,True,Não concluiu,Relatou sucesso
S17,Compartilhar o relatório com o time,False,152,True,3,True,Não concluiu,Relatou sucesso
S18,Subir um vídeo de sessão,False,245,False,3,False,Não concluiu,Relatou fracasso
S18,Encontrar os acionáveis do estudo,True,160,True,4,False,Concluiu,Relatou sucesso
S18,Filtrar achados por severidade,False,190,True,3,True,Não concluiu,Relatou sucesso
S18,Exportar para o Power BI,True,216,False,3,False,Concluiu,Relatou fracasso
S18,Compartilhar o relatório com o time,True,172,True,5,False,Concluiu,Relatou sucesso
S19,Subir um vídeo de sessão,False,267,True,4,True,Não concluiu,Relatou sucesso
S19,Encontrar os acionáveis do estudo,True,183,True,4,False,Concluiu,Relatou sucesso
S19,Filtrar achados por severidade,True,110,True,4,False,Concluiu,Relatou sucesso
S19,Exportar para o Power BI,True,38,True,5,False,Concluiu,Relatou sucesso
S19,Compartilhar o relatório com o time,False,190,True,3,True,Não concluiu,Relatou sucesso
S20,Subir um vídeo de sessão,True,92,True,4,False,Concluiu,Relatou sucesso
S20,Encontrar os acionáveis do estudo,False,201,True,5,True,Não concluiu,Relatou sucesso
S20,Filtrar achados por severidade,True,180,True,3,False,Concluiu,Relatou sucesso
S20,Exportar para o Power BI,True,113,False,1,False,Concluiu,Relatou fracasso
S20,Compartilhar o relatório com o time,True,170,True,4,False,Concluiu,Relatou sucesso
S21,Subir um vídeo de sessão,False,254,True,5,True,Não concluiu,Relatou sucesso
S21,Encontrar os acionáveis do estudo,False,144,True,3,True,Não concluiu,Relatou sucesso
S21,Filtrar achados por severidade,True,108,True,4,False,Concluiu,Relatou sucesso
S21,Exportar para o Power BI,True,174,True,3,False,Concluiu,Relatou sucesso
S21,Compartilhar o relatório com o time,True,105,True,3,False,Concluiu,Relatou sucesso
S22,Subir um vídeo de sessão,False,201,True,3,True,Não concluiu,Relatou sucesso
S22,Encontrar os acionáveis do estudo,True,134,True,4,False,Concluiu,Relatou sucesso
S22,Filtrar achados por severidade,True,159,True,3,False,Concluiu,Relatou sucesso
S22,Exportar para o Power BI,False,237,False,2,False,Não concluiu,Relatou fracasso
S22,Compartilhar o relatório com o time,True,188,True,3,False,Concluiu,Relatou sucesso
S23,Subir um vídeo de sessão,False,242,False,1,False,Não concluiu,Relatou fracasso
S23,Encontrar os acionáveis do estudo,False,217,True,5,True,Não concluiu,Relatou sucesso
S23,Filtrar achados por severidade,False,200,True,3,True,Não concluiu,Relatou sucesso
S23,Exportar para o Power BI,False,191,True,5,True,Não concluiu,Relatou sucesso
S23,Compartilhar o relatório com o time,False,171,False,4,False,Não concluiu,Relatou fracasso
S24,Subir um vídeo de sessão,False,169,False,2,False,Não concluiu,Relatou fracasso
S24,Encontrar os acionáveis do estudo,False,166,True,3,True,Não concluiu,Relatou sucesso
S24,Filtrar achados por severidade,False,245,False,3,False,Não concluiu,Relatou fracasso
S24,Exportar para o Power BI,False,251,True,3,True,Não concluiu,Relatou sucesso
S24,Compartilhar o relatório com o time,False,168,True,4,True,Não concluiu,Relatou sucesso
